band_index,band_label,importance_raw,importance_frac
22,836,8.922260284423828,0.05325072258710861
23,824,8.153026580810547,0.04865970462560654
15,926,7.78579568862915,0.04646795988082886
14,690,7.349586486816406,0.04386453330516815
8,769,7.287433624267578,0.04349358752369881
9,675,7.21821403503418,0.043080464005470276
11,757,7.090802192687988,0.04232003167271614
13,715,6.963317394256592,0.041559163480997086
1,896,6.948550224304199,0.041471030563116074
21,857,6.870383262634277,0.04100450500845909
19,946,6.692711353302002,0.039944104850292206
2,877,6.609135150909424,0.03944529965519905
7,782,6.590909004211426,0.03933652117848396
16,933,6.525853157043457,0.03894824534654617
0,886,6.424060821533203,0.038340721279382706
3,867,6.367800712585449,0.03800494223833084
20,846,6.334419250488281,0.0378057137131691
5,793,6.302987098693848,0.03761811554431915
4,951,6.26908540725708,0.03741578012704849
6,806,6.164174556732178,0.03678964078426361
18,910,5.932741165161133,0.0354083776473999
24,941,5.897191047668457,0.035196203738451004
12,730,5.81987190246582,0.03473474085330963
10,743,5.721132278442383,0.034145429730415344
17,918,5.310469627380371,0.031694475561380386
